1053554;Mikro i mini wieże;1479;Pioneer X-HM32VD-K (czarny);http://f00.esfr.pl/foto/8/9461873702/9449b3697321fb5ba1c8af14873449ca/pioneer-x-hm32vd-k-czarny,9461873702_7.jpg;3138;Odtwarzacz płyt:DVD:0 | Moc znamionowa RMS:2 x 30 W:1 | Obsługiwane formaty audio:MP3, WMA:2 | Radio:analogowe z pamięcią, cyfrowe:3 | Łączność dodatkowa:Bluetooth:4 | 
1053555;Zestawy kolumn;1299;Pioneer S-RS88TB;http://f00.esfr.pl/foto/2/9461822672/c90b1ef825252f55b9b8e09caa1c2f2b/pioneer-s-rs88tb,9461822672_7.jpg;2237;Liczba kolumn w zestawie:5:0 | Skład zestawu:2x głośnik przedni, 2x głośniki surround, głośnik centralny:1 | Impedancja znamionowa:8 Ω:2 | 
1053557;Mikro i mini wieże;3299;Pioneer P1-W (biały);http://f00.esfr.pl/foto/8/9517421387/6eea24442438d0402d431e628b498fc0/pioneer-p1-w-bialy_,9517421387_7.jpg;19048;Odtwarzacz płyt:CD:0 | Moc znamionowa RMS:2 x 75 W:1 | Obsługiwane formaty audio:MP3, WMA:2 | Radio:analogowe z pamięcią:3 | Złącza:USB, AUX, optyczne, koaksjalne, subwoofer, słuchawkowe:4 | 
1053558;Tusze i tonery;159.99;Printe TS-111S zamiennik (MLT-D111S);http://f00.esfr.pl/foto/2/9490134947/d859c9f0b754f23817a780a570826317/printe-ts-111s-zamiennik-mlt-d111s,9490134947_7.jpg;19535;Marka pasującej drukarki:Samsung:0 | Barwa druku:black - czarny:1 | Wydajność do:1000 stron:2 | Typ:wkład standardowy:3 | Pochodzenie:zamiennik:4 | 
1053559;Powerline - transmitery sieciowe;359;Netis PL7500 KIT;http://f01.esfr.pl/foto/8/9495388102/5823b3d4a7b845ec0d542e0c56cc04d6/netis-pl7500-kit,9495388102_7.jpg;36833;Prędkość transmisji:500 Mb/s:0 | Zasięg:300 metrów:1 | Standardy:IEEE802.3, IEEE802.3u, HomePlug AV:2 | Porty:1 x RJ45 (10/100):3 | 
1053597;Soundbar i speakerbar;1899;JBL Cinema SB400;http://f00.esfr.pl/foto/4/9476279557/829c8dfc87e7506ef3019ffcaf3ed263/jbl-cinema-sb400,9476279557_7.jpg;5333;Liczba kanałów:2.1:0 | Moc całkowita:320 W:1 | Dekodery dźwięku:Dolby Digital:2 | Łączność bezprzewodowa:Bluetooth:3 | Typ subwoofera:aktywny, bezprzewodowy:4 | 
1053598;Słuchawki;349;Pioneer SE-MJ561BT-S;http://f00.esfr.pl/foto/8/9476170087/71f775b7008628e9854d0332fe755dfd/pioneer-se-mj561bt-srebrny,9476170087_7.jpg;4945;Typ słuchawek:nauszne - zamknięte:0 | Pasmo przenoszenia:9 - 22000 Hz:1 | Dynamika (SPL):109 dB:2 | Transmisja bezprzewodowa:bluetooth:3 | 
1053599;Słuchawki;349;Pioneer SE-MJ561BT-T;http://f01.esfr.pl/foto/2/9476221597/2b5b525bc84004455590f3818195cdc4/pioneer-se-mj561bt-brazowy,9476221597_7.jpg;2880;Typ słuchawek:nauszne - zamknięte:0 | Pasmo przenoszenia:9 - 22000 Hz:1 | Dynamika (SPL):109 dB:2 | Transmisja bezprzewodowa:bluetooth:3 | 
1053600;Telewizory LED, LCD, plazmowe;699.00;LG 22MT47D (czarny);http://f01.esfr.pl/foto/4/9444502802/2a4726e579ce548d4ebfb42ce1a06a12/lg-22mt47d-czarny,9444502802_2.jpg;2607;
1053602;Telewizory LED, LCD, plazmowe;659.00;LG 24MT47D (czarny);http://f01.esfr.pl/foto/3/9444753777/2a4726e579ce548d4ebfb42ce1a06a12/lg-24mt47d-czarny,9444753777_2.jpg;30976;
