1056191;Głośniki przenośne;239;Creative MUVO 10 (czarny);http://f01.esfr.pl/foto/1/9678610537/39c257295499965e4e5f8e8489982ae0/creative-muvo-10-czarny,9678610537_7.jpg;13255;Czas pracy do:8 h:0 | Pasuje do:urządzenia ze złączem 3,5 mm jack, urządzenia z Bluetooth, urządzenia z NFC:1 | Zasilanie:akumulatorowe:2 | ;
1056192;Głośniki przenośne;249;Creative MUVO 10 (zielony);http://f01.esfr.pl/foto/7/9678753327/dee952ac443c62b842026f978918f965/creative-muvo-10-zielony,9678753327_7.jpg;25960;Czas pracy do:8 h:0 | Pasuje do:urządzenia ze złączem 3,5 mm jack, urządzenia z Bluetooth, urządzenia z NFC:1 | Zasilanie:akumulatorowe:2 | ;
1056193;Głośniki przenośne;239;Creative MUVO 10 (niebieski);http://f00.esfr.pl/foto/5/9678709767/281d3b3a0ac7d394d49b6b0b043dcb8/creative-muvo-10-niebieski,9678709767_7.jpg;22791;Czas pracy do:8 h:0 | Pasuje do:urządzenia ze złączem 3,5 mm jack, urządzenia z Bluetooth, urządzenia z NFC:1 | Zasilanie:akumulatorowe:2 | ;
1056194;Stacje pogody;179.99;Meteo SP53;http://f01.esfr.pl/foto/8/9733328342/e287cedb7c9c95e78a8da8ff141ed0f8/meteo-sp53,9733328342_7.jpg;18364;Pomiar temperatury:na zewnątrz, wewnątrz:0 | Pomiar ciśnienia:tak:1 | Prognozowanie pogody:tak:2 | ;
1056195;Laptopy;8449.00;Apple Macbook Pro 15 i7-4770HQ 16GB 256 GB SSD OS X 10.10;http://f01.esfr.pl/foto/2/9637410022/3a017efdcde7f0140710fdb732d8b0f5/apple-macbook-pro-15-i7-4770hq-16gb-256-gb-ssd-os-x-10-10,9637410022_2.jpg;10299;;
1056196;Stacje pogody;99.99;Meteo SP54 (biały);http://f00.esfr.pl/foto/9/9733354752/86e905f2392a51404345ee436b04ae96/meteo-sp54-bialy,9733354752_7.jpg;15052;Pomiar temperatury:na zewnątrz, wewnątrz:0 | Prognozowanie pogody:tak:1 | ;
1056335;Laptopy;10399;Apple Macbook Pro 15 i7-4870HQ 16GB 512GBSSD R9M370X OSX10.10;http://f00.esfr.pl/foto/1/9637462277/3a017efdcde7f0140710fdb732d8b0f5/apple-macbook-pro-15-i7-4770hq-16gb-512gbssd-r9m370x-osx10-10,9637462277_7.jpg;2442;Ekran:15,4 cala, 2880 x 1800 pikseli:0 | Procesor:Intel® Core™ i7 4gen 4870HQ 2,5 - 3,7 GHz:1 | System operacyjny:Mac OS X Yosemite:2 | Pamięć RAM:16 GB:3 | Dysk:512 GB SSD:4 | Grafika:AMD® R9 M370X + Intel Iris Pro Graphics 5200:5 | Ekran dotykowy:nie:6 | Kolor:srebrny:7 | Kod producenta:MJLT2ZE/A:8 | ;
1056339;Stacje pogody;129.99;Meteo SP54 (czarny);http://f00.esfr.pl/foto/8/9733367162/bb621f48794d75e42805b09716d87510/meteo-sp54-czarny,9733367162_7.jpg;7444;Pomiar temperatury:na zewnątrz, wewnątrz:0 | Prognozowanie pogody:tak:1 | ;
1056412;Piloty uniwersalne;29.99;One For All URC 8610 Xsight Lite;http://f00.esfr.pl/foto/2/9716422872/a35a796ad1bf1ef0f25ec2e8ad3e80e4/one-for-all-urc-8610-xsight-lite,9716422872_7.jpg;45346;Obsługiwane urządzenia:telewizor, amplituner, odtwarzacz Blu-ray, odtwarzacz DVD, odbiornik satelitarny, zestawy kina domowego:0 | ;
1056451;Garnki i czajniki;59.99;Tescoma Presto 16 cm;http://f01.esfr.pl/foto/7/9672516097/3383b156f743f02689bc2c23526eb749/tescoma-presto-16-cm,9672516097_7.jpg;12892;Średnica:16 cm:0 | Pojemność:1,4 litra:1 | Możliwość mycia w zmywarce:tak:2 | Możliwość używania na kuchniach indukcyjnych:nie:3 | W zestawie:garnek 16 cm, szklana pokrywka:4 | ;
1056475;Laptopy;3499.00;Lenovo Y50-70 i7-4720HQ 8GB 1TB 8GB SSHD GTX960M W8.1;http://f01.esfr.pl/foto/5/9645668492/854615a0b95bc1b729105355ae5fee2c/lenovo-y50-70-i7-4720hq-8gb-1tb-8gb-sshd-gtx960m-w8-1,9645668492_2.jpg;41052;;
1056617;Odkamieniacze;22.99;Electrolux E6OCH106;http://f00.esfr.pl/foto/3/9690465037/a335d5d7367a7213b852dcb09953a547/electrolux-e6och106,9690465037_7.jpg;63899;Przeznaczenie:AGD, piekarniki:0 | ;
1056619;Czajniki elektryczne;159.99;Severin WK 3461;http://f00.esfr.pl/foto/5/9676907367/7b9cec5a1c887732fcb2e6b96afc2365/severin-wk-3461,9676907367_7.jpg;23297;Pojemność:1,5 litra:0 | Element grzejny:płaska grzałka płytowa:1 | Moc:2200 W:2 | Kolor:szaro-czarny:3 | Wykonanie:stal nierdzewna:4 | ;
1056620;Czajniki elektryczne;103.79;Severin WK 3495;http://f00.esfr.pl/foto/9/9676908907/b89873ae58c532c784d803b01ce5ced8/severin-wk-3495,9676908907_7.jpg;19334;Pojemność:1,5 litra:0 | Element grzejny:płaska grzałka płytowa:1 | Moc:2200 W:2 | Kolor:biały:3 | Wykonanie:tworzywo sztuczne:4 | ;
1056621;Czajniki elektryczne;259;Severin WK 3460;http://f00.esfr.pl/foto/5/9676890602/c13d7f9fbd7789c016f8ccc690b1bbb5/severin-wk-3460,9676890602_7.jpg;17215;Pojemność:1,5 litra:0 | Element grzejny:płaska grzałka płytowa:1 | Moc:2200 W:2 | Kolor:szaro-czarny:3 | Wykonanie:stal nierdzewna:4 | ;
1056622;Parownice;239;Severin ST 7181;http://f01.esfr.pl/foto/8/9690486252/8464013e963769d84c717bca4f88001e/severin-st-7181,9690486252_7.jpg;15653;Moc:1550 W:0 | Pojemność:0,22 litra:1 | ;
1056623;Parownice;269;Severin ST 7182;http://f01.esfr.pl/foto/8/9690488837/84084cae7509c2df165f1a66dcec8e7/severin-st-7182,9690488837_7.jpg;9300;Moc:1550 W:0 | Pojemność:0,2 litra:1 | ;
1056626;Ekspresy przelewowe;131.2;Severin KA 4190;http://f00.esfr.pl/foto/9/9701575442/5a2237e8fc8b52483d1c1c168e20948b/severin-ka-4190,9701575442_7.jpg;19134;Moc:1000 W:0 | Pojemność naczynia:10 filiżanek:1 | Rodzaj naczynia:dzbanek:2 | ;
1056627;Ekspresy przelewowe;168.99;Severin KA 4191;http://f00.esfr.pl/foto/9/9701588992/4347edee98ac8c1a7f2fb4c5a5fbd14e/severin-ka-4191,9701588992_7.jpg;10143;Moc:1000 W:0 | Pojemność naczynia:10 filiżanek:1 | Rodzaj naczynia:dzbanek:2 | ;
1056628;Ekspresy przelewowe;179.7;Severin KA 4462 Supreme;http://f01.esfr.pl/foto/8/9701613287/ceeb8fb4c206c3704c90df3c9bda8633/severin-ka-4462-supreme,9701613287_7.jpg;10571;Moc:1000 W:0 | Pojemność naczynia:10 filiżanek:1 | Rodzaj naczynia:dzbanek:2 | ;
1056629;Ekspresy przelewowe;149.99;Severin KA 4312;http://f01.esfr.pl/foto/3/9701593797/6c7069250960a6cbde6d9ddcc73add15/severin-ka-4312,9701593797_7.jpg;14506;Moc:1000 W:0 | Pojemność naczynia:10 filiżanek:1 | Rodzaj naczynia:dzbanek:2 | ;
1056630;Ekspresy przelewowe;109.99;Severin KA 4805;http://f01.esfr.pl/foto/5/9701620747/b245024408578ad448e02e25252adfc5/severin-ka-4805,9701620747_7.jpg;11463;Moc:650 W:0 | Pojemność naczynia:4 filiżanki:1 | Rodzaj naczynia:dzbanek:2 | ;
1056631;Ekspresy przelewowe;439;Severin KA 5702 Cafe Caprice;http://f00.esfr.pl/foto/2/9701638092/66ea708235fe42aecf0f6a164e5aefb1/severin-ka-5702-cafe-caprice,9701638092_7.jpg;6134;Moc:1450 W:0 | Pojemność naczynia:8 filiżanek:1 | Rodzaj naczynia:dzbanek:2 | ;
